NAME,TYPE,RELIGIOUS,FREEDOM FROM TRANS IDEOLOGY,STATE,NOTES,WEBSITE
"California State University, Los Angeles",Public,No,Poor,CALIFORNIA,"Offers a fellowship in ""Transgender Studies""; has a Women's; Gender; & Sexuality Studies program; runs a Gender & Sexuality Resource Center; which appears to have a defunct site.",calstatela.edu
Chapman University,Private,No,Poor,CALIFORNIA,"Has a ""Gender-Inclusive Policies"" page with resources on ""gender- diverse"" housing; pronoun usage; participation in sports study abroad accommodations and more.",chapman.edu
Claremont McKenna College,Private,No,Poor,CALIFORNIA,"Has a ""Queer Resource Center; "" which aims to ""promote empowerment and social justice"" through provision of various gender-related resources.",cmc.edu
Harvey Mudd College,Private,No,Poor,CALIFORNIA,"Has a ""Resources for Transgender Students"" page that is represented as a ""guide to transitioning at Harvey Mudd College"" with various on- and off-campus resources.",hmc.edu
Occidental College,Private,No,Poor,CALIFORNIA,"Has an ""LGBTQIA+ Support"" page with various resources such as a dedicated ""Queer & Trans Guide; "" ""Lived Name & Pronoun Policy; "" and ""Trans+ Health Guide. """,oxy.edu
Pitzer College,Private,No,Moderate,CALIFORNIA,"Has a ""Resources for LGBTQIA+ Students"" page that refers students to numerous off-campus resources; nothing specific to the school itself.",pitzer.edu
Pomona College,Private,No,Moderate,CALIFORNIA,"Offers comprehensive page on ""Diversity Resources for Students"" but nothing specific to gender ID.",pomona.edu
San Diego State University,Public,No,Poor,CALIFORNIA,"Uses the acronym ""2SLGBTQIA+"" in collaboration between the Pride and Native Resource centers; has comprehensive other resources incl. Safe Zone training and a glossary.",sdsu.edu
San Jose State University,Public,No,Poor,CALIFORNIA,As of Nov. 2024; suspended its assistant volleyball coach for filing a Title IX report against a trans athlete on her team; provides comprehensive gender-related resources incl. a guide on name changes & using pronouns.,sjsu.edu
Santa Clara University,Private,No,Poor,CALIFORNIA,"Offers Safe Zone training; has a dedicated ""Trans* Resources"" page that states its ""trans* community"" is very small; uses ""trans*"" to include not only individuals who ID as trans but also anyone who ""transgresses social norms in a variety of ways. """,scu.edu
Scripps College,Private,No,Moderate,CALIFORNIA,"Published a blog post by Student Life called ""Reviving a space or Queer Students""; has a ""Queer Resource Center"" but no site for it.",scrippscollege.edu
Stanford University,Private,No,Poor,CALIFORNIA,"Has a ""Stanford Pride"" page that states a membership of over 4000; the overarching ""Queer Student Resources (QSR)"" page has its own website and various resource lists.",stanford.edu
"University of California, Berkeley",Public,No,Poor,CALIFORNIA,Provides plentiful resources specific to transgender identity; incl. carefully outlined inclusion policies for gender- related name and pronoun changes; healthcare; housing; sports; & more.,berkeley.edu
"University of California, Davis",Public,No,Poor,CALIFORNIA,"Provides plentiful resources specific to transgender identity and states its commitment to ""an ongoing process of ensuring that trans and nonbinary students are treated with dignity and respect. . . supported by policies at the campus; state; and federal levels. """,ucdavis.edu
"University of California, Irvine",Public,No,Poor,CALIFORNIA,"Has integrated LGBT Resource Center with dedicated ""Transgender Care Specialist"" and plentiful other resources focused on trans ID.",uci.edu
"University of California, Los Angeles",Public,No,Poor,CALIFORNIA,"Boasts its status as a ""Top 10 Trans- Friendly Campus"" per the Campus Pride Index; provides gender-related medical interventions under student health insurance; offers plentiful on- and off-campus resources; among other things. ",ucla.edu
"University of California, Merced",Public,No,Poor,CALIFORNIA,"Provides plentiful resources specific to transgender identity and gives in- depth descriptions of its gender- related medical; housing; and ""identity marker"" policies.",ucmerced.edu
"University of California, Riverside",Public,No,Poor,CALIFORNIA,"Provides plentiful resources specific to transgender identity and gives in- depth descriptions of its gender- related policies; including its ""UCR Trans Group & T-Camp Retreat. """,ucr.edu
"University of California, San Diego",Public,No,Poor,CALIFORNIA,"Offers a comprehensive Q&A specific to transgender identity, which states a broad commitment to transgender integration, including access to gender-related hormones and surgeries under university health plans.",ucsd.edu
"University of California, Santa Barbara",Public,No,Poor,CALIFORNIA,"Has dedicated ""Trans@UCSB"" page with information on social transition; medical transition; and various trans definitions; university healthcare policies cover hormones; surgery; and various other non-surgical procedures incl. hair removal.",ucsb.edu
"University of California, Santa Cruz",Public,No,Poor,CALIFORNIA,"Has dedicated ""Trans and Nonbinary Care"" page through the Student Health Center; university healthcare policies cover hormones; surgery; and various other non-surgical procedures incl. hair removal and gender-related voice training.",ucsc.edu
University of San Francisco,Private,No,Poor,CALIFORNIA,"Has a ""LGBTQ+"" resources page w/ comprehensive resources incl. the Human Rights Campaign and various other affirmation-only groups.",usfca.edu
University of Southern California,Private,No,Poor,CALIFORNIA,"Has a ""Trans@USC"" page that alerts students to various policies and resources such as name and gender change processes; ""all-gender"" baths; ""gender-affirming"" healthcare; ""gender inclusive"" housing; trans athletic inclusion; and gender-related student organizations.",usc.edu
Colorado College,Prviate,No,Poor,COLORADO,"Supports self-ID; has a ""queer & trans collective""; provides many LGBT and gender-related resources; incl. for youth; offers gender-neutral housing.",coloradocollege.edu
Colorado School of Mines,Public,No,Poor,COLORADO,"""Gender-inclusive"" housing; working toward ""more inclusive"" data collection; provides uni-endorsed trans resources.",mines.edu
Colorado State University,Public,No,Poor,COLORADO,"Released a ""trans-affirming statement""; lots of resources on pronouns and gender ID; ""gender-inclusive"" housing.",colostate.edu
University of Colorado - Boulder,Public,No,Poor,COLORADO,"Provides affirming medical care to students, recommends this as a resource for educators to give to questioning students; open name change process, provides transition FAQ for faculty.",colorado.edu
University of Colorado - Denver,Public,No,Poor,COLORADO,Open name change & pronoun policy; collects data on sexual orientations of students: plentiful LGBT resources including transition guides.,ucdenver.edu
University of Denver,Prviate,Formerly,Poor,COLORADO,"Open name change & pronoun policy; provides ""pride closet""; plentiful LGBT resources and orgs; encourages self-ID for bathrooms and locker rooms.",du.edu
Connecticut College,Private,No,Poor,CONNECTICUT,"Offers comprehensive trans health care; provide Safe Zone training; facilitates gender-inclusive housing through the housing application; supports ""LGBTQIA"" students with four different student clubs and events; including Coming Out Day; Trans Day of Remembrance; Pride Rally; and Lavender Graduation; maintains nearly all bathrooms on campus as gender-inclusive; and implements a Preferred Name Option.",conncoll.edu
Trinity College,Private,No,Poor,CONNECTICUT,Covers healthcare related to gender identity through Trinity's student insurance plan; including hormone replacement therapy; select gender-affirming procedures; and trans-inclusive counseling services; offers HRT and surgical support letters; assist with HRT injections; provides Safe Zone training; and accommodates gender-inclusive housing requests for freshmen; while allowing all other students to choose roommates regardless of sex; supports LGBTQ+ students through the Queer Resource Center and EROS club with regular meetings and events; maintains all-gender bathrooms throughout campus; adheres to NESCAC policy for sports; implements a chosen name option via a self-service portal; encouraging the entry of pronouns; and lists resources for trans healthcare on the Queer Center page.,trincoll.edu
University of Connecticut,Public,No,Poor,CONNECTICUT,Includes hormone replacement therapy and gender-affirming surgeries in the UConn Student Health Insurance Plan (SHIP); along with access to a transgender voice clinic at the speech and hearing clinic; offers specialized LGBTQIA health services through the Gender Care Team; including hormone therapy; letters of support; counseling; and a Gender Affirming Closet; all staff in the Rainbow Center use they/them/theirs pronouns; provides gender-inclusive housing by application; primarily located on the 5th and 6th floors of Brock Hall; maintains bathrooms by identity; along with neutral bathrooms throughout campus; implements a chosen name option via a self-service portal while emphasizing the importance of using correct names and pronouns; and lists resources for trans healthcare on the Rainbow Center page.,uconn.edu
Wesleyan University,Private,No,Poor,CONNECTICUT,CIGNA insurance appears to cover transgender healthcare; and the health center offers financial support; resources; and group therapy; provide referrals and additional resources; requires Title IX training for employees; offers an open house for underclassmen; accommodates gender-neutral housing requests for first-year students; with options to live with any roommate regardless of sex after the first year; supports LGBTQ students through campus organizations like the Campus Resource Center; HOUSE; Spectrum; and Wes Burlesque clubs; which feature drag and burlesque events; maintains all-gender bathrooms across campus and adhere to NCAA sports policies; and allows preferred names to be updated via a self-service portal.,wesleyan.edu
Yale University,Private,No,Poor,CONNECTICUT,"Provides comprehensive transgender healthcare covered by student insurance; including the Exploring Gender group therapy and a Gender Affirming Closet; offers gender-inclusive housing in Yale College with shared mixed-gender bathrooms in most areas; while requests for single-gender bathrooms can be made during the Intent phase of Room Draw; supports LGBTQ students through the LGBTQ Center and the Trans@Yale club; which features an extensive online ""survival guide; "" hosts weekly meetings; and organizes monthly lunches and events; maintains all-gender bathrooms across campus in compliance with NCAA sports policies; and allows preferred names to be updated via a self-service portal.",yale.edu
Deleware State University,Public,No,Excellent,DELAWARE,No prominent search results related to gender identity.,https://www.desu.edu/
University of Delaware,Public,None,Poor,DELAWARE,"Provides a variety of trans-related services and alerts students to these services via a ""LGBTQ+ Health"" page; allows students to designate preferred name; pronouns; and gender identity.",udel.edu
Florida International University,Public,No,Poor,FLORIDA,"""Gender-inclusive"" housing; easy process for changing name and gender ID on documents; provides ""LGBTQ"" course offerings; counsiling/support groups; health insurance covers hormones.",fiu.edu
Florida State University,Public,No,Poor,FLORIDA,"Offers ""LGBTQ+"" housing option; UHS provides medical support for ""gender transitioning patients""; faculty research issues of gender ID; the Women's Studies program includes classes on gender and sexuality.",fsu.edu
University of Central Florida,Public,No,Poor,FLORIDA,"Offers Safe Zone training; offers ""LGBTQ+"" Student Support Services; incl. a list of ""gender-neutral"" bathrooms; a dedicated lounge space; and the ""Lavender Council""; was once ranked the ""top college for LGBTQ+ students in Florida; considers trans ID in housing.",ucf.edu
University of Florida,Public,No,Poor,FLORIDA,"Offers a ""Lavender"" living and learning community; university records can list preferred gender / name except where legally required; UHS provides ""gender-affirming"" care.",ufl.edu
University of Miami,Private,No,Poor,FLORIDA,"""Gender-inclusive"" housing; offers Safe Zone training; gender-related courses; student health insurance policy is ""trans-inclusive""; allows gender self-ID on university documents.",miami.edu
University of South Florida,Public,No,Poor,FLORIDA,"Offers Safe Zone training; ""LGBTQ+"" living and learning community; UHS provides hormones to trans students and will refer for surgery if desired; students protested Gov. De Santis's request that universities submit spending on GAC.",usf.edu
Emory University,Private,No,Poor,GEORGIA,Offers comprehensive coverage for transgender care through its Student Health Insurance Plan; provides an information guide for navigating transgender resources via the LGBT Center; and runs the Gender Affirming Items Initiative to supply essential gender-affirming clothing at no cost; hosts Safe Space Ally training; offers gender-inclusive housing; has an Office of LGBT Life with a trans resources page; and supports nine student clubs while allowing individuals to use bathrooms that align with their gender identity; maintaining gender-neutral bathrooms across campus. Designated names and pronouns can be managed through a self-service portal.,emory.edu
Georgia Institute of Technology,Public,No,Poor,GEORGIA,Provides access to student health insurance details; indicating that hormones are covered as noted on the Pride Alliance website and Trans Resources; offers individual and group counseling for LGBTQIA students through the LGBTQIA Center; although specific information is not found on the Counseling Center's page; commits to inclusive care for transgender and gender-diverse individuals at Stamps Health Services; assisting with hormone therapy; lab testing; and prescription refills; employs 5 out of 8 LGBTQIA staff who are trans/non-binary; including the Director; offers gender-inclusive housing through the housing app; hosts the LGBTQIA Resource Center; which includes Pride Alliance and Grad Pride clubs; and organizes weekly meet-ups and events like Queer Prom; TDOR; and Lavender Grad; along with programs for health and well-being; maintain all-gender bathrooms across campus; allow chosen name changes via a Name Change Form; with guidance resources provided by Pride Alliance.,gatech.edu
Georgia State University,Public,No,Moderate,GEORGIA,Lacks coverage for transgender-specific healthcare in student health insurance; indicates the Counseling Center runs a Transgender Support Group; finds gender-inclusive housing available through the housing application; offers resources through the Cultures; Community & Inclusion office; which includes the Alliance; Black OUT; and o STEM clubs; the Gender and Sexuality Resource Room provides services like programming; workshops; organizational support; and mentoring for students identifying as or connecting to LGBTQ+ and varying gender identities; with events such as Lavender Grad and a Drag Show hosted by the Alliance club; and courses on LGBTQ+ topics offered by the Women; Gender & Sexuality Studies department; allows preferred name changes via a self-service portal; and hosts a Planned Parenthood club on campus.,gsu.edu
University of Georgia,Public,No,Poor,GEORGIA,Offers hormone therapy through the Health Center and LGBTQIA resources via the Pride Center while lacking coverage for transgender-specific healthcare in student insurance; gender specialists; and gender-inclusive housing; provides Dawg Ally training; hosts five student clubs and three support groups (including one for trans students); maintains all-gender bathrooms; and allows chosen name and gender changes through a self-service portal.,uga.edu
"University of Hawaii at Manoa, Honolulu",Public,No,Moderate,HAWAII,"Offers and advertises Safe Zone training, hosts a Rainbow Village Residential Learning Program, maintains an LGBTQ+ Center and Rainbow Ohana honor society with weekly meetings and events like a native Hawaiian drag show, provides gender-neutral bathrooms, and facilitates a process for preferred name changes, although pronoun usage by staff is not compulsory.",manoa.hawaii.edu
Boise State University,Public,No,Poor,IDAHO,"Offers a ""trans-friendly"" resource guide with extensive links to srevices and support provided by the school.",boisestate.edu
University of Idaho,Public,No,Poor,IDAHO,"Has a dedicated ""LGBTQA Office"" that provides a variety of rsources and policies specific to trans identity.",uidaho.edu
DePaul University,Private,Yes,Poor,ILLINOIS,"Offers minor in ""LGBTQ Studies""; has dedicated space for ""LGBTQIA"" resource center; houses gender- related student orgs; discussion groups; etc. ; allows gender self-ID where possible. ",depaul.edu
Illinois Institute of Technology,Private,No,Moderate,ILLINOIS,"Offers ""LGBTQ"" resources; allows students to self-select gender and pronouns in some applications.",iit.edu
Illinois State University,Public,No,Poor,ILLINOIS,"Offers Women's; Gender; & Sexuality program; has dedicated page for LGBTQ students; incl. resources on ""all-gender"" restrooms; pronoun changes; etc. ; offers gender-related scholarships & support funds.",illinoisstate.edu
Knox College,Private,No,Poor,ILLINOIS,"""Gender-inclusive"" housing; has dedicated ""LGBTQ"" resource center; offers ""LGBTQ Studies"" program; has ""trained trans-inclusive counseling staff; provides ""Lavender"" graduation.",knox.edu
Loyola University Chicago,Private,Yes,Poor,ILLINOIS,"Center for Diversity and Inclusion has ""LGBTQIA"" initiatives; offers a course in transgender medicine; which addressed the treatment of minors.",luc.edu
Northeastern Illinois University,Public,No,Moderate,ILLINOIS,"Offers Women's; Gender & Sexuality Studies major; ""LGBTQ Studies"" minor; faculty research on ""transgender intimate partner violence. """,neiu.edu
Northwestern University,Private,No,Poor,ILLINOIS,"Issued ""Statement in Support of Transgender Rights""; UHS provides hormones and referrals to the larger NW medical system for surgery; offers ""all-gender"" housing.",northwestern.edu
Southern Illinois University Carbondale,Public,No,Poor,ILLINOIS,"UHS provides ""gender-affirming"" care; has ""LGBTQ"" Resource Center; offers ""Sexuality Diversity Studies"" minor; shares resources on legal and preferred name change procedure for students who identify as ""LGBTQ. """,siu.edu
Southern Illinois University Edwardsville,Public,No,Poor,ILLINOIS,"Offers Safe Zone training; dedicated page for ""LGBTQIA"" resources; ""LGBTQ"" housing options available.",siue.edu
University of Chicago,Private,No,Poor,ILLINOIS,"""Gender-inclusive"" housing; UHS provides ""gender-affirming"" care; has ""gender-neutral"" restrooms; offers single-occupancy locker rooms.",uchicago.edu
University of Illinois Chicago,Public,No,Poor,ILLINOIS,Observes TDOV; has in-house surgeon states that it abides by NCAA guidelines for trans inclusion in sport.,uic.edu
Wheaton College,Private,Yes,Excellent,ILLINOIS,"Expresses traditional views on gender. States a biblical view of ""gender"" (rather than ""sex"") in its ""Gender Equity Vision Statement""; offers cert. in ""Gender Studies""; provides ""Refuge"" program for those navigating issues w/ sexual orientation or gender ID; claims its ""biblically faithful. "" States a biblical view of ""gender"" (rather than ""sex"") in its ""Gender Equity Vision Statement""; offers cert. in ""Gender Studies""; provides ""Refuge"" program for those navigating issues w/ sexual orientation or gender ID; claims its ""biblically faithful. """,wheaton.edu
DePauw University,Private,Yes,Poor,INDIANA,"Support is offered by ""The Justin and Darrianne Christian Center for Diversity and Inclusion"" and has a dedicated page on transgender student resources including information on restrooms; housing; name/gender marker changes; a link to ""NCAA Inclusion of Transgender Student-Athletes"" and links to ""gender health"" programs; including one that is open to minors. ",https://www.depauw.edu/
Indiana University Bloomington,Public,No,Poor,INDIANA,"The school's LGBTQ+ Culture Center offers a dedicated page on Transitioning at IU which provides an extremely extensive guide on how to access various services and policies related to gender identity. The center also offers a gender affirming closet, numerous scholarships, and a TrUSt (Transgender Union for Students)",https://www.indiana.edu/
Purdue University,Public,No,Poor,INDIANA,"Offers a dedicated page for 'Trans Students; Staff and Faculty"" which includes information on ""medical transition""; restrooms; housing; gender marker change; vocal therapy; and off campus resources include contact info for affirming doctors and ""trans affirming beauty services"". Purdue health insurance plans for staff; faculty and students provide coverage for hormone replacement therapy and gender-affirming surgeries.",https://www.purdue.edu/
University of Notre Dame,Private,Yes,Moderate,INDIANA,"Could be low: In 2024 they released ""Beloved Friends and Allies"" pastoral plan in a press release which seeks to support LGBTQ students; promoting a welcoming campus for LGBTQ students through initiatives such as the ""Gender Relations Center""; Campus Ministry; and the Counseling Center; offering support; education; plan includes training for campus leaders and the establishment of a peer support organization; all while being informed by their Catholic identity. ",https://www.nd.edu/
Grinnell College,Private,No,Poor,IOWA,"""Gender-inclusive"" housing; Pres. issued ""letter of support"" for the trans community; allows self-ID in sex- seggregated spaces.",https://www.grinnell.edu/
Iowa State University,Public,No,Poor,IOWA,"""Gender-inclusive"" housing; provides letters to facilitate medical transiton; has Center for ""LGBTQIA+ Student Success""; lists ""all-gender"" bathrooms.",https://www.iastate.edu/
University of Iowa,Public,No,Poor,IOWA,"UHS provides ""gender-affirming care"" to students.",https://uiowa.edu/
Kansas State University,Public,No,Poor,KANSAS,Has a dedicated Spectrum Center that offers a Trans and Gender Identity Resources page featuring plentiful definitions.,https://www.k-state.edu/
University of Kansas,Public,No,Poor,KANSAS,"Has a ""Center for Sexuality and Gender Diversity"" that offers many events, resources, and policies relating to transgender identity.",https://www.ku.edu/
Berea College,Private,Yes,Poor,KENTUCKY,"The school offers a ""Women's and Gender Non-Conforming Center"" (recently renamed the bell hooks Center) which endorses a ""gender/identity spectrum""; offers events such as ""Gender Talk"" conference; a Pride week in october. School offers a ""Women's; Gender; and Sexuality Studies"" program. the bell hooks Center's page is very active and while mainly focused on feminism; does feature some trans events such as ""Beyond the Binary: Queer and Trans Sex 101"" and the school offers a class called ""Trans Feminist Queer Autonomy"". ",https://www.berea.edu/
Eastern Kentucky University,Public,No,Poor,KENTUCKY,"Offers various resources for transgender students through its LGBTQIA+ Student Services; including gender-neutral bathrooms; LGBTQ+ training; and a mentorship program; and links to external transgender organizations. An article from 2024 mentions a group called ""Cisn't""; which is a student group Cisn't club for ""gender-diverse students; including transgender and non-binary individuals""",https://www.eku.edu/
University of Kentucky,Public,No,Poor,KENTUCKY,Provides resources like Safe Zone ally training; gender-affirming services (such as identity-related housing - Audre Lorde Living Learning Program; restroom access; and name/gender marker changes); and a partnership with Transform Health Clinic.,https://www.uky.edu/
University of Louisville,Public,No,Poor,KENTUCKY,"Offers a page focused on ""transgender care"" which details how the school provides gender-affirming hormone therapy and related care for transgender; non-binary; and gender-diverse individuals; following WPATH guidelines; ""We provide support; education; and management of gender affirming hormone therapy for transgender; gender non-binary; gender diverse; gender creative; and gender non-congruent individuals. Our goal is to deliver personalized and evidence-based medical support to individuals whose gender identity differs from the sex they were assigned at birth; based on guidelines from the Endocrine Society and World Professional Organization for Transgender Health (WPATH). """,https://louisville.edu/
Louisiana State University-Alexandria,Public,No,Excellent,LOUISIANA,"Provides no specific transgender resources or programming, though a resources list includes the LGBT National Help Center and Trevor Project; no LGBTQ+ student organizations or school offices were found.",https://www.lsua.edu/
Louisiana State University-Shreveport,Public,No,Moderate,LOUISIANA,"Provides an LGBTQIA Support Group through Counseling Services and lists the LGBT National Help Center and Trevor Project in resources. Career Services offers LGBTQ Affinity Group resources, and the Queer Alliance hosts pride events, dinners, and monthly meetings, though no specific health services for transgender individuals were found.",https://www.lsus.edu/
Tulane University of Louisiana,Private,No,Poor,LOUISIANA,"Offers campus health services that provide hormone replacement therapy (HRT), referrals for surgeries, and a resource list. An LGBTQIA support group is available, and the Office of Gender and Sexual Diversity hosts multiple events and programs, including Trans Cultural Humility Training, LGBTQ History Month, and Lavender Graduation. Gender Affirming Housing and Mixed Gender Housing options are offered, with students allowed to use facilities that align with their gender identity. Gender-inclusive bathrooms are available across campus, and students can request chosen names and pronouns through the student portal.",https://tulane.edu/
Bates College,Private,No,Poor,MAINE,"Allows self-ID gender and pronouns; promotes ""flags of the LGBTQ+ Community""; offers ""Transgender Studies"" program.",https://www.bates.edu/
Bowdoin College,Private,No,Poor,MAINE,"Defines ""sexism"" as having to do with gender and accuses people of conflating ""gender"" and ""sex"" in this way; offers many resources related to gender ID.",https://www.bowdoin.edu/
Colby College,Private,No,Poor,MAINE,"""Gender-inclusive"" housing by default; must opt-in to women's and men's housing; which is based on self-ID.",https://www.colby.edu/
University of Maine,Public,No,Poor,MAINE,"Offers ""Women's; Gender; and Sexuality Studies Program""; lots of academic resources on transgender identity and gender-related affairs.",https://umaine.edu/
Johns Hopkins University,Private,No,Poor,MARYLAND,"Has a ""Gender & Sexuality Resources"" page that includes resources for coming out as trans; as well as campus-speciifc policies on ahtletics; chosen names; housing; health insurance; and restrooms.",https://www.jhu.edu/
Towson University,Public,No,Poor,MARYLAND,"Has a page on ""LGBTQ+ Resources"" that includes info on campus polices and resources; as well as outside resources and employment guides.",https://www.towson.edu/
"University of Maryland, College Park",Public,No,Poor,MARYLAND,"Has an LGBTQ+ Equity Center featuring a number of trans-focused groups and events, as well as a dedicated page for transgender students.",https://www.umd.edu/
Amherst College,Private,No,Poor,MASSACHUSETTS,"Runs ""Queer Resource Center""; lists ""gender-inclusive"" restrooms; hosts gender-related program called ""The Free Closet. """,https://www.amherst.edu/
Boston College,Private,Yes,Moderate,MASSACHUSETTS,"Provides list of ""LGBTQ+"" resources; students pushed for separate ""LGBTQ"" Center; but the program is instead housed within the larger diversity center.",https://www.bc.edu/
Boston University,Private,No,Poor,MASSACHUSETTS,"Provides resources to access ""gender- affirming care"" and chest binders; holds transgender andnonbinary support groups; recommended by ""LGBTQIA+ task force. """,https://www.bu.edu/
Brandeis University,Private,No,Poor,MASSACHUSETTS,"Has ""Gender and Sexuality Center"" that provides resources for gender- related therapy; clothing; medicine; housing; and more.",https://www.brandeis.edu/
Clark University,Private,No,Poor,MASSACHUSETTS,"""Gender-inclusive"" housing; offers gender-related support & discussion groups; defers to NCAA policy for the inclusion of trans athletes.",https://www.clarku.edu/
Harvard University,Private,No,Poor,MASSACHUSETTS,"Office of Gender Equity has ""LGBTQ Supports"" page; has an initative to train medical students to serve ""gender minorities. """,https://www.harvard.edu/
Massachusetts Institute of Technology,Private,No,Poor,MASSACHUSETTS,"""LGBTQ+ Services"" page has tab specifically for students who ID as trans; provides counseling and health services through student insurance; hosts ""Rainbow Lounge. """,https://www.mit.edu/
Mount Holyoke College,Private,Yes,Poor,MASSACHUSETTS,"Admits biological men despite its status as a women's college; provides ""gender-affirming"" health services and resources; has gender-related student organizations.",https://www.mtholyoke.edu/
Northeastern University,Private,No,Poor,MASSACHUSETTS,"Has an ""LGBTQA Resource Center"" which runs the ""Affirmation Access Project"" and assists students with chest binders; micro-grants; and connections to ""gender-affirming"" hormones and surgeries.",https://www.northeastern.edu/
Smith College,Private,No,Poor,MASSACHUSETTS,"Accepts biological men despite its status as a women's college; provides resources for gender identity and expression; incl. ""gender-affirming care"" like hormones and surgery.",https://www.smith.edu/
Tufts University,Private,No,Poor,MASSACHUSETTS,"Has dedicated ""LGBTQIA Resources"" page; offers gender-related financial aid; provides ""Rainbow House"" living option; connects students to ""gender-affirming care. """,https://www.tufts.edu/
University of Massachusetts Amherst,Public,No,Poor,MASSACHUSETTS,Stonewall Center lists transgender resources and connects students to gender-affirming care; student housing has spectrum floor.,https://www.umass.edu/
Wellesley College,Private,No,Poor,MASSACHUSETTS,Admits men who identify as women; but not women who identify as men; despite their status as a women's college; offers Women's and Gender Studies program.,https://www.wellesley.edu/
Williams College,Private,No,Poor,MASSACHUSETTS,"Provides comprehensive ""LGBTQ+"" resources incl. a ""Gender Sexuality Resource Room"" which has ""safer sex and personal care items; reading materials; and information""; has ""Trans Inclusion Committee""; lists Planned Parenthood as a resource for accessing hormone therapy.",https://www.williams.edu/
Worcester Polytechnic Institute,Private,No,Poor,MASSACHUSETTS,"""Gender-inclusive"" housing; provides comprehensive on- and off-campus resources; incl. a clothing closet; offers gender-related trainings.",https://www.wpi.edu/
Central Michigan University,Public,No,Poor,MICHIGAN,"Has an ""Office of LGBTQ Services & Gender Equity Programs""; has a specific ""Trans@CMU"" offshoot; allows self-ID for housing and restrooms; lots of resources.",https://www.cmich.edu/
Eastern Michigan University,Public,No,Poor,MICHIGAN,"""Gender inclusive"" hosuing; offers guidance on ""gender inclusive language""; offers LGBT resource center; runs ""Trans* Compassion Week"" program.",https://www.emich.edu/
Michigan State University,Public,No,Poor,MICHIGAN,"""Pronoun Data Policy""; provides comprehensive LGBT glossary; states that ""male"" & ""female"" have to do with gamete production.",https://msu.edu/
Michigan Technological University,Public,No,Poor,MICHIGAN,"Refers to violence in terms of gender rather than sex; offers gender self- ID; ""Safe Place"" trainings; ""Equity and Inclusion Vocabulary""",https://www.mtu.edu/
University of Michigan - Ann Arbor,Public,No,Poor,MICHIGAN,"Allows gender self-ID, UHS provides sex trait modification, offers many trainings and resources.",https://umich.edu/
